cities,lat,lng
"Baltimore, MD",39.2903848,-76.6121893
"Chicago, IL",41.8781136,-87.6297982
"Los Angeles, CA",34.0522342,-118.2436849
"Memphis, TN",35.1495343,-90.0489801
"New Orleans, LA",29.95106579999999,-90.0715323
"Miami, FL",25.7616798,-80.1917902
"St. Louis, MO",38.6270025,-90.19940419999999
"Detroit, MI",42.331427,-83.0457538
"Cincinnati, OH",39.1031182,-84.5120196
"Cleveland, OH",41.49932,-81.6943605
"Philadelphia, PA",39.9525839,-75.1652215
"Newark, NJ",40.735657,-74.1723667
